Label,Contents,Status
1,jabat setiausaha raja johor facebook rasminya bantu tunai umum raja negeri johor utama terima sebarang bentuk bantu raja sekutu raja negeri borang tular medium sosial edar awam raja negeri johor lantik wakil selaras mudah wakil raja negeri johor kenal golong jejas apa bantu wakil selaras lantik pusat salur kuasa tempat jabat adun jabat daerah kalang pimpin masyarakat tentu layak terima bantu tunai ihsan covid johor takluk nilai sistem e-ihsan johor kendali bendahara negeri johor,Fake
1,tular medium sosial dakwa menteri kesihatan arah tutup klinik malaysia km negara menteri kesihatan nafi keluar arah tutup klinik malaysia dakwa tular medium sosial ketua arah datuk dr noor hisham abdullah beliau kesah rancang raja tutup klinik komuniti menteri muktamad arah tutup klinik komuniti klinik malaysia beliau bekata pandang prose kaji murni muktamad urus tinggi menteri kesihatan menteri kesihatan nafi keluar arah tutup klinik malaysia dakwa tular medium sosial,Fake
1,hangat kata medium sosial dakwa bahawa laku serang obor merah air negeri johor jabat taman laut malaysia johor jtlmj nafi laku serang obor merah air negeri tular medium sosial laman rasmi facebook jtlmj nafi keluar amar orang ramai unjung mandi pantai air mersing dil,Fake
1,menteri kesihatan jelas lapor dakwa bahawa kanak-kanak tinggal dunia akibat sakit tangan kaki mulut hfmd daro mukah sarawak sepertimana hangat kata ketua arah kesihatan nyata menteri kesihatan malaysia kkm maklum bahawa kanak-kanak tinggal dunia syak sakit tangan kaki mulut hfmd lapor julai kanak-kanak umur asal kampung pangtray daro mukah sarawak beliau alami demam julai tanda ruam tapak tangan kaki ulser mulut julai kanak-kanak bawa klinik kesihatan kk daro julai didiagnosa syak hfmd beliau rawat ibu nasihat rawat anak beliau sembuh julai malam kanak-kanak bawa jabat cemas trauma hospital daro stabil rujuk hospital sibu rawat beliau tinggal dunia hospital sibu pagi julai sebab mati sebab jangkit paru teruk severe pneumonia jangkit hfmd sampel klinikal ambil uji kesah sebab mati,Fake
1,menteri didik malaysia kpm jelas dakwa bahawa menteri beku untuk biasiswa mybrain sepertimana tular medium sosial tangguh program biasiswa mybrain kelulus untuk unit ancang ekonomi epu menteri wang menteri didik dr maszlee malik menteri wang epu lihat penting isu beliau tahu bahawa program mybrain libat kalang terima laku raja janji rm juta untuk menteri didik langkah politik raja lepas rm juta tampung aji terima ko tampung rm juta implikasi wang,Fake
1,tular medium sosial dakwa suruhanjaya cegah rasuah malaysia sprm beku akaun peribadi milik jaguh badminton negara datuk lee chong wei suruhanjaya cegah rasuah malaysia sprm nafi bahawa akaun peribadi milik jaguh badminton negara datuk lee chong wei beku rana kait dana malaysia development had mdb timbal ketua pesuruhjaya operasi sprm datuk seri azam baki hubung nama kesah perkara,Fake
1,palsu tular medium sosial dakwa konon jabat kesihatan majlis bandaraya shah alam mbsa maklum virus sakit tangan kaki mulut hfmd setia city mall jabat kesihatan negeri selangor kesah mang arah kesihatan mbsa isu siasat dapat bahawa dakwa orang ramai nasihat semak maklumat berita kait hfmd percaya sebar maklumat keluar menteri kesihatan malaysia kkm orang ramai sebar berita kesah kkm sumber facebook jabat kesihatan negeri selangor,Fake
1,palsu tular medium sosial dakwa bahawa kanak kanak-kanak usia tinggal dunia hospital enche hajah kalsom kluang akibat sakit sakit tangan kaki mulut hfmd jabat kesihatan johor nafi dakwa mati kanak-kanak usia hospital enche hajah kalsom kluang akibat gejala hfmd arah kesihatan johor dr selahuddeen abd aziz mati kanak-kanak usia hospital punca sakit hfmd hfmd johor kawal orang ramai nasihat sebar berita sumber sahih rana sebab panik sumber hari metro sinar hari,Fake
1,palsu tular medium sosial dakwa lebuhraya pan-borneo zon negeri sarawak jalan lancar ikut tetap menteri kerja raya bian kembang projek lebuhraya pan borneo sarawak jalan lancar dahulu jadual beliau maklum takat mei atus projek bahagian sarawak atus iaitu atus lebih sasar tetap banding sabah alami lewat atus tengah sektor harap kembang terus sumber sinar hari,Fake
1,palsu tular medium sosial dakwa bahawa jabat kesihatan negeri terengganu keluar nyata pasar raya negeri positif virus sakit tangan kaki mulut hfmd nyata rasmi jabat kesihatan negeri terengganu jabat kesihatan negeri terengganu pandang serius dakwa jabat keluar nyata positif virus sakit tangan kaki mulut hfmd pasaraya negeri terengganu jabat kesihatan negeri terengganu nafi kera nyata keluar jabat maklumat tular orang ramai nasihat semak sahih maklumat kait hfmd jabat kesihatan negeri terengganu percaya sebar sumber facebook jabat kesihatan negeri terengganu kosmo,Fake
1,jelas wisma putra jelas dakwa bahawa warga malaysia maut susul gempa bumi landa lombok indonesia sepertimana hangat kata nyata rasmi wisma putra takat jam indonesia barat ogos duta jaya hubung orang warganegara malaysia lokasi lombok lapor selamat duta jaya hubung ajar malaysia tuntut bal lapor selamat badan meteorologi klimatologi geofisika bmkg tarik amar tsunami keluar warganegara malaysia lombok nasihat kekal selamat hindar kawasan risiko bangun alami kerosakan rakyat malaysia lombok bantu konsular hubung nombor telefon whatsapp emel mwjakarta gov my jkonsular com sumber laman twitter rasmi wisma putra,Fake
1,palsu hangat kata medium sosial dakwa bahawa menteri angkut arah semua saman tunggak mei batal nyata menteri angkut rujuk nyata bahawa menteri angkut yb loke siew fook arah batal semua saman trafik tunggak selesai mei tular dimuatnaik individu bertanggungjawab aplikasi sosial whatsapp facebook bahawa nyata tiada arah keluar ogos dakwa bahawa yb menteri ada lawat rasmi jepun tiada bincang hubung perkara kecam kera tindak bertanggungjawab sebarang nyata rasmi keluar menteri orang ramai nasihat rujuk menteri sebarang kemusykilan sumber facebook menteri angkut twitter menteri angkut,Fake
1,jelas menteri jabat perdana menteri jelas dakwa bahawa semua jemaah haji program yayasan malaysia development had mdb dijadualkan tunai haji batal taja menteri jabat perdana menteri datuk dr mujahid yusof sebahagian jemaah haji program khas yayasan mdb timbang tunai haji takluk kriteria tetap semua calon cukup syarat tetap lembaga tabung haji tabung haji jumpa menteri ehwal ekonomi kuota cukup ambil inisiatif muka nama kriteria tabung haji lulu sebahagian sesuai kriteria laksana sumber utu malaysia,Fake
1,jelas menteri belia sukan yb saddiq syed abdul rahman jelas dakwa bahawa menteri belia sukan kb lantik pimpin parti politik jawat arah majlis sukan peringkat negeri sepertimana hangat kata yb saddiq syed abdul rahman kb tetap arah majlis sukan peringkat negeri lantik mana pimpin parti politik elak sebarang tembung politik sukan beliau mahu perkara laku rana bimbang wujud penting peribadi konflik piawai tetap bahawa arah majlis sukan negeri pimpin tinggi parti politik raja arah majlis sukan negeri lantik kalang pimpin politik kali lantik arah bebas politik kepartian lantik kalang bekas atlet tokoh korporat pegawai tadbir diplomatik bidang sukan sumber berita hari,Fake
1,jelas menteri angkut jelas dakwa bahawa larang raja benar pramugari syarikat terbang pakai pakai patuh syariah sepertimana hangat kata timbal menteri angkut datuk kamarudin jaffar raja tiada sebarang halang mana syarikat terbang tetap pakai seragam pramugari tepat hendak syariah islam selagi patuh kriteria tetap kuasa terbang awam malaysia caam international civil aviation organization icao caam tetap syarikat terbang sedia pakai seragam boleh pramugari pramugara jalan tugas selamat tempoh tetap perlu syarikat terbang oleh sijil selamat syarikat terbang bebas pilih pakai seragam patuh kriteria pakai halang tugas ungsi cemas dasar sesuai imej korporat sumber sinar hari,Fake
1,jelas perdana menteri jelas lapor bahawa rampas kapal mewah equanimity buka tonton awam sepertimana lapor medium perdana menteri tun dr mahathir mohamad kapal mewah equanimity buka tonton awam elak sebarang kerosakan perdana menteri sebarang cacat kapal jejas harga jual kapal mewah mahu jejas nilai rana mahu jual sumber astro awan,Fake
1,palsu hangat kata medium sosial dakwa bahawa ikut arah konon menteri wang sprm serbu syarikat china kait ecrl beliau halang pasuk negara china menteri wang lim guan eng beliau keluar apa arah serbu sprm mahupun halang serta rombong china keluar arah sprm serbu syarikat ecrl china hadir temu china rana benar asas isnin ogos paksa senat pasti ruu kait sst lulu rana lulu jejas hasil negara sumber sinar hari the star,Fake
1,jelas menteri wang jelas dakwa bahawa harga rumah tingkat lepas laksana cukai sst menteri wang lim guang eng tekan atas harga rumah bangun industri bangun komersial jangka ringan pemansuhan gst kecuali cukai sst raja sekutu harap ko bina rendah susul kecuali cukai sst bahan mentah utama khidmat bina contoh bahan bina kena sst simen pasir besi cadang kecuali barang kena sst kaedah implementasi cukai sst banding gst maju beli faedah kurang beban cukai sumber facebook rasmi menteri wang malaysia,Fake
1,palsu hangat kata medium sosial dakwa bahawa kes culi kanak-kanak dakwa laku senadin hadap sekolah bangsa sk anchi miri sarawak ketua polis daerah miri asisten komisioner lim meng seah berita culi kanak-kanak bandar raya miri tiada lapor polis terima kait kes culi kanak-kanak dakwa laku senadin hadap sekolah bangsa sk anchi beliau sebar lapor undang resah orang awam kait kes laku justeru orang awam henti sebar maklumat serta-merta gambar suspek kongsi kait sabit kes semenanjung sumber facebook polis diraja malaysia berita hari,Fake
1,jelas menteri didik malaysia kpm jelas ubah tarikh peperiksaan hari lepas raya deepavali sepertimana tular medium sosial nyata akhbar kpm rujuk adu tular laman sosial bahawa peperiksaan jalan sekolah negeri kedah hari lepas raya deepavali iaitu november menteri didik malaysia kpm arah sekolah ikut gari pandu tetap kpm jabat didik negeri jpn tarikh peperiksaan batal ubah tarikh baharu maklum menteri pandang serius perkara saran sekolah rujuk jpn tarikh sekolah sentiasa peka tarikh sambut raya negara sumber laman facebook rasmi menteri didik malaysia,Fake
1,palsu tular medium sosial konon menteri tahan malaysia ada bincang lambang tudm dakwa sama logo parti politik menteri tahan mohamad sabu nafi sebar papar skrin hubung isu lambang tentera udara diraja malaysia tudm dakwa sama logo parti politik mohamad akaun twitternya sebar maklumat palsu palsu gambar nyata tulis ogos nama akaun milik sumber sinar hari,Fake
1,palsu hangat kata medium sosial dakwa bahawa bangun angkasapuri kuala lumpur bakar jurucakap jabat bomba selamat malaysia jbpm kuala lumpur berita jadi bakar bangun angkasapuri terima sebarang lapor hubung jadi bakar bangun terima panggil bakar angkasapuri pusat gera operasi jbpm kuala lumpur takat sumber kosmo,Fake
1,jelas menteri negeri jelas dakwa tindak enggan makan bandu sosma himpun keluarga bandu hadap penjara sungai buloh rana berpuashati undang sosma dimansuhkan sepertimana hangat kataka nyata rasmi menteri negeri ogos sebahagian bandu sosma tindak enggan makan sarap sedia penjara sungai buloh ogos keluarga bandu bual himpun hadap penjara sungai buloh rana berpuashati undang sosma dimansuhkan penting kesihatan kebaji bandu libat jaga selaras akta atur penjara sedia pantau terus diaksanakan pegawai ubat penjara sentiasa sedia makan sedia ikut jadual jumpa keluarga peguam mash benar menteri ngeri kdn jabat penjara nasihat memberhentkan tindak salah tatatertib penjara sepertimana tetap atur penjara selaras manifesto raja jawatankuasa khas kaji undang kait selamat menteri negeri tubuh teliti undang kait selamat kdn sosma jawatankuasa khas danggotai pelbagai jabat agens kait pdrm jabat peguam nagara jawatankuasa baharu institusi suhakam badan peguam malaysia ahli akademik den amal undang jawatankuasa khas sidang kali seterusnuya sidang hujung ogos kdn ambil perhati serius bantah sosma pandang muka pelbagai timbang jawatankuasa sumber facebook menteri negeri,Fake
1,palsu sebar luas mesej kitar dakwa konon tenaga nasional had tnb keluar not ingat orang ramai buka cermin kenderaan luas atus kenderaan jemur panas lebih jam tenaga nasional had tnb bahawa tiada warga kerja keluar nyata tular laman sosial nasihat milik kenderaan langkah hadap cuaca panas fenomena el nino nyata palsu tiada warga kerja tnb nama nyata hubung orang ramai nasihat abai nyata sumber facebook rasmi tnb,Fake
1,palsu tular medium sosial dakwa bahawa ahli kumpul wang simpan kerja kwsp hak insentif rm kwsp nyata rasmi kumpul wang simpan kerja kwsp kumpul wang simpan kerja kwsp kenal mesej tular dakwa bahawa ahli hak insentif rm kwsp kwsp bahawa mesej tular kandung laman web palsu kait kwsp mesej paut laman web palsu orang ramai kaji selidik semak layak terima insentif lihat papar laman web palsu kwsp percaya bahawa cubaan tipu data peribadi ahli tuju unsur jenayah ahli gesa klik paut data peribadi mana tiga sah ahli seru sebar mesej tular maklumat rasmi produk khidmat kwsp siar laman web rasmi kwsp www kwsp gov my ahli hubung pusat urus hubung kwsp e-mel sumber laman rasmi kwsp facebook kwsp,Fake
1,palsu tular medium sosial lapor berita konon laman astro awan dakwa bahawa tiada bayar pencen lepas sara pencen ganti kwsp serta-merta astro awan nafi terbit siar artikel judul bayar pencen ganti kwsp serta-merta platform digital www astroawani com tular medium sosial artikel palsu dakwa konon tiada bayar pencen lepas pesara papar imej menyalahgunakan logo nama astro awan sengaja sunting olah bertanggungjawab keliru masyarakat sumber astro awan,Fake
1,palsu tular medium sosial dakwa bahawa ancam bom bangun sri pentas bandar utama sepertimana lapor medium ketua polis daerah petaling jaya acp mohd zan che din bangun sri pentas bandar kosong susul panggil ancam bom polis kesah tiada objek curiga temu terima panggil ancam bom malam lelaki ikut pasu unit bom jabat polis kontinjen selangor kejar lokasi tindak polis arah semua staf periksa dapat tiada sebarang objek curiga temu panggil palsu sumber astro awan,Fake
1,jelas menteri bangun bandar kplb sabah jelas dakwa bahawa kplb bantu kumpul data beri projek ic kad kenal nyata rasmi menteri bangun bandar kplb sabah menteri bangun bandar kplb sabah ambil maklum tular surat timbal setiausaha kplb sabah tarikh ogos kplb surat tuju maklumat senarai kampung jabat jabat daftar negara jpn daerah sabah surat keluar maklumat jarak duduk kampung langkah arah usaha tangan daftar lahir mati lapor rana faktor jarak kampung jabat jpn daerah daftar lahir mati sabah sarawak menteri negeri arah langkah baharu tangan justeru surat keluar asas seksyen ordinan lahir mati sabah cap kuasa ketua kampung lapor lahir mati kampung jabat jpn daerah tempoh lepas tarikh lahir mati borang lapor standard operating procedure sop sedia jpn prose verifikasi lapor ketua kampung dasar program kaunter gerak mobile court dapat bahawa daftar lahir punca ketidakmampuan keluarga urus rekod lahir mati akibat ko belanja rana jarak kampung daftar perkahwinan urus daftar kalang duduk sabah daftar cetus anak pasuk sekolah jpn komited selesai daftar lahir mati masuk dekat kaunter gerak program padu agens raja mobile court laksana justeru maklumat kampung sepertimana surat kait daftar lahir mati angka negara kplb sabah mahu sebahagian selesai bekal maklumat kampung jarak jpn usaha padu takat ogos jabat daerah jabat daerah bekal maklumat iaitu kota marudu bur keningau sipitang kemabong kampung jabat jpn daerah kg melalin pulau jambongan jarak kilometer kg long pasia sipitang kilometer kg long mio sipitang kilometer kg sonsogon mogis kota marudu kilometer kg tagibang kota marudu kilometer arah jpn sabah setiausaha timbal setiausaha kplb sabah jelas menteri bangun bandar sabah ogos kait salah anggap surat tular medium sosial sumber facebook menteri menteri bangun bandar kplb sabah berita hari,Fake
1,jelas menteri wang malaysia mof jelas dakwa bahawa lantik petron bekal minyak petrol diesel raja sekutu unsur nepotisme siar medium mof rujuk isu kait lantik petron fuel international sdn bhd petron viral ogos khamis menteri wang maklum bahawa petron bekal tunggal minyak petrol diesel kenderaan raja sekutu petronas shell bekal minyak petrol diesel semenjak guna kenderaan raja lantik pentadbiran rana kait urus operasi libat sebarang implikasi wang raja kelulus raja oleh pilih petronas shell petron buka peluang saing sihat kalang bekal minyak petrol diesel raja had bekal bekal wibawa jaring stesen negara mohon sumber facebook rasmi menteri wang malaysia,Fake
